session_id,label,ts,source,scenario_id,attack_subtype,label_method,unique_ports,unique_hosts,connection_count,port_entropy,port_range_span,mean_inter_arrival,std_inter_arrival,environment
benign_0,0,1789223120.648063,real,recon_benign_baseline,,generator_ground_truth,1,1,1,-0.0,0,0.0,0.0,loopback
benign_0,0,1789223120.798063,real,recon_benign_baseline,,generator_ground_truth,2,1,2,1.0,965,0.1973,0.0,loopback
benign_0,0,1789223120.9480631,real,recon_benign_baseline,,generator_ground_truth,2,1,2,1.0,965,0.1973,0.0,loopback
benign_0,0,1789223121.0980632,real,recon_benign_baseline,,generator_ground_truth,2,1,3,0.9183,965,0.203,0.0057,loopback
benign_0,0,1789223121.248063,real,recon_benign_baseline,,generator_ground_truth,2,1,3,0.9183,965,0.203,0.0057,loopback
benign_0,0,1789223121.3980634,real,recon_benign_baseline,,generator_ground_truth,2,1,3,0.9183,965,0.203,0.0057,loopback
benign_0,0,1789223121.5480635,real,recon_benign_baseline,,generator_ground_truth,2,1,4,0.8113,965,0.3011,0.1389,loopback
benign_0,0,1789223121.6980636,real,recon_benign_baseline,,generator_ground_truth,2,1,5,0.971,965,0.2665,0.1344,loopback
benign_0,0,1789223121.8480637,real,recon_benign_baseline,,generator_ground_truth,2,1,5,0.971,965,0.2665,0.1344,loopback
benign_0,0,1789223121.9980638,real,recon_benign_baseline,,generator_ground_truth,2,1,5,0.971,965,0.2665,0.1344,loopback
benign_0,0,1789223122.148064,real,recon_benign_baseline,,generator_ground_truth,2,1,6,0.9183,965,0.2923,0.1308,loopback
benign_0,0,1789223122.298064,real,recon_benign_baseline,,generator_ground_truth,2,1,6,0.9183,965,0.2923,0.1308,loopback
benign_0,0,1789223122.448064,real,recon_benign_baseline,,generator_ground_truth,2,1,6,0.9183,965,0.2923,0.1308,loopback
benign_0,0,1789223122.5980642,real,recon_benign_baseline,,generator_ground_truth,2,1,7,0.9852,965,0.3174,0.132,loopback
benign_0,0,1789223122.7480645,real,recon_benign_baseline,,generator_ground_truth,2,1,8,0.9544,965,0.2941,0.135,loopback
benign_0,0,1789223122.8980644,real,recon_benign_baseline,,generator_ground_truth,2,1,8,0.9544,965,0.2941,0.135,loopback
benign_0,0,1789223123.0480645,real,recon_benign_baseline,,generator_ground_truth,2,1,8,0.9544,965,0.2941,0.135,loopback
benign_0,0,1789223123.1980646,real,recon_benign_baseline,,generator_ground_truth,2,1,8,0.9544,965,0.2941,0.135,loopback
benign_0,0,1789223123.348065,real,recon_benign_baseline,,generator_ground_truth,2,1,9,0.9183,965,0.3333,0.1633,loopback
benign_0,0,1789223123.4980648,real,recon_benign_baseline,,generator_ground_truth,2,1,10,0.971,965,0.3168,0.1609,loopback
benign_0,0,1789223123.6480649,real,recon_benign_baseline,,generator_ground_truth,2,1,11,0.9457,965,0.2967,0.1641,loopback
benign_0,0,1789223123.798065,real,recon_benign_baseline,,generator_ground_truth,2,1,11,0.9457,965,0.2967,0.1641,loopback
benign_0,0,1789223123.948065,real,recon_benign_baseline,,generator_ground_truth,2,1,12,0.9799,965,0.3086,0.161,loopback
benign_0,0,1789223124.0980651,real,recon_benign_baseline,,generator_ground_truth,2,1,12,0.9799,965,0.3086,0.161,loopback
benign_0,0,1789223124.2480652,real,recon_benign_baseline,,generator_ground_truth,2,1,12,0.9799,965,0.3086,0.161,loopback
benign_0,0,1789223124.398065,real,recon_benign_baseline,,generator_ground_truth,2,1,12,0.9799,965,0.3086,0.161,loopback
benign_0,0,1789223124.5480654,real,recon_benign_baseline,,generator_ground_truth,2,1,14,0.9403,965,0.3056,0.1754,loopback
benign_0,0,1789223124.6980655,real,recon_benign_baseline,,generator_ground_truth,2,1,15,0.971,965,0.2933,0.1748,loopback
benign_0,0,1789223124.8480656,real,recon_benign_baseline,,generator_ground_truth,2,1,15,0.971,965,0.2933,0.1748,loopback
benign_0,0,1789223124.9980657,real,recon_benign_baseline,,generator_ground_truth,2,1,15,0.971,965,0.2933,0.1748,loopback
benign_0,0,1789223125.1480658,real,recon_benign_baseline,,generator_ground_truth,2,1,15,0.971,965,0.2933,0.1748,loopback
benign_0,0,1789223125.298066,real,recon_benign_baseline,,generator_ground_truth,2,1,16,0.9887,965,0.3081,0.1777,loopback
benign_0,0,1789223125.448066,real,recon_benign_baseline,,generator_ground_truth,2,1,16,0.9887,965,0.3081,0.1777,loopback
benign_0,0,1789223125.598066,real,recon_benign_baseline,,generator_ground_truth,2,1,17,0.9774,965,0.308,0.1721,loopback
benign_0,0,1789223125.7480662,real,recon_benign_baseline,,generator_ground_truth,2,1,18,0.9641,965,0.2988,0.1709,loopback
benign_0,0,1789223125.8980663,real,recon_benign_baseline,,generator_ground_truth,2,1,19,0.9819,965,0.2906,0.1695,loopback
benign_0,0,1789223126.0480664,real,recon_benign_baseline,,generator_ground_truth,2,1,19,0.9819,965,0.2906,0.1695,loopback
benign_0,0,1789223126.1980665,real,recon_benign_baseline,,generator_ground_truth,2,1,19,0.9819,965,0.2906,0.1695,loopback
benign_0,0,1789223126.3480666,real,recon_benign_baseline,,generator_ground_truth,2,1,19,0.9819,965,0.2906,0.1695,loopback
benign_0,0,1789223126.498067,real,recon_benign_baseline,,generator_ground_truth,2,1,19,0.9819,965,0.2906,0.1695,loopback
benign_0,0,1789223126.6480668,real,recon_benign_baseline,,generator_ground_truth,2,1,22,0.976,965,0.2897,0.2009,loopback
benign_0,0,1789223126.7980669,real,recon_benign_baseline,,generator_ground_truth,2,1,22,0.976,965,0.2897,0.2009,loopback
benign_0,0,1789223126.948067,real,recon_benign_baseline,,generator_ground_truth,2,1,22,0.976,965,0.2897,0.2009,loopback
benign_0,0,1789223127.098067,real,recon_benign_baseline,,generator_ground_truth,2,1,23,0.9877,965,0.2954,0.198,loopback
benign_0,0,1789223127.2480671,real,recon_benign_baseline,,generator_ground_truth,2,1,23,0.9877,965,0.2954,0.198,loopback
benign_0,0,1789223127.3980672,real,recon_benign_baseline,,generator_ground_truth,2,1,23,0.9877,965,0.2954,0.198,loopback
benign_0,0,1789223127.548067,real,recon_benign_baseline,,generator_ground_truth,2,1,23,0.9877,965,0.2954,0.198,loopback
benign_0,0,1789223127.6980674,real,recon_benign_baseline,,generator_ground_truth,2,1,25,0.9896,965,0.2974,0.2062,loopback
benign_0,0,1789223127.8480675,real,recon_benign_baseline,,generator_ground_truth,2,1,25,0.9896,965,0.2974,0.2062,loopback
benign_0,0,1789223127.9980676,real,recon_benign_baseline,,generator_ground_truth,2,1,26,0.9829,965,0.2919,0.2038,loopback
benign_0,0,1789223128.1480677,real,recon_benign_baseline,,generator_ground_truth,2,1,26,0.9829,965,0.2919,0.2038,loopback
benign_0,0,1789223128.2980678,real,recon_benign_baseline,,generator_ground_truth,2,1,26,0.9829,965,0.2919,0.2038,loopback
benign_0,0,1789223128.448068,real,recon_benign_baseline,,generator_ground_truth,2,1,26,0.9829,965,0.2919,0.2038,loopback
benign_0,0,1789223128.598068,real,recon_benign_baseline,,generator_ground_truth,2,1,27,0.9911,965,0.3048,0.21,loopback
benign_0,0,1789223128.748068,real,recon_benign_baseline,,generator_ground_truth,2,1,27,0.9911,965,0.3048,0.21,loopback
benign_0,0,1789223128.8980682,real,recon_benign_baseline,,generator_ground_truth,2,1,28,0.9852,965,0.3037,0.2061,loopback
benign_0,0,1789223129.0480683,real,recon_benign_baseline,,generator_ground_truth,2,1,29,0.9784,965,0.2998,0.2034,loopback
benign_0,0,1789223129.1980684,real,recon_benign_baseline,,generator_ground_truth,2,1,29,0.9784,965,0.2998,0.2034,loopback
benign_0,0,1789223129.3480685,real,recon_benign_baseline,,generator_ground_truth,2,1,30,0.9871,965,0.2999,0.1999,loopback
benign_0,0,1789223129.4980686,real,recon_benign_baseline,,generator_ground_truth,2,1,30,0.9871,965,0.2999,0.1999,loopback
benign_0,0,1789223129.648069,real,recon_benign_baseline,,generator_ground_truth,2,1,30,0.9871,965,0.2999,0.1999,loopback
benign_0,0,1789223129.7980688,real,recon_benign_baseline,,generator_ground_truth,2,1,31,0.9812,965,0.3052,0.1986,loopback
benign_0,0,1789223129.9480689,real,recon_benign_baseline,,generator_ground_truth,2,1,33,0.9834,965,0.2923,0.199,loopback
benign_0,0,1789223130.098069,real,recon_benign_baseline,,generator_ground_truth,2,1,33,0.9834,965,0.2923,0.199,loopback
benign_0,0,1789223130.248069,real,recon_benign_baseline,,generator_ground_truth,2,1,33,0.9834,965,0.2923,0.199,loopback
benign_0,0,1789223130.3980691,real,recon_benign_baseline,,generator_ground_truth,2,1,33,0.9834,965,0.2923,0.199,loopback
benign_0,0,1789223130.5480692,real,recon_benign_baseline,,generator_ground_truth,2,1,33,0.9834,965,0.2923,0.199,loopback
benign_0,0,1789223130.698069,real,recon_benign_baseline,,generator_ground_truth,2,1,34,0.99,965,0.3061,0.2111,loopback
benign_0,0,1789223130.8480694,real,recon_benign_baseline,,generator_ground_truth,2,1,35,0.9852,965,0.3018,0.2094,loopback
benign_0,0,1789223130.9980695,real,recon_benign_baseline,,generator_ground_truth,2,1,36,0.9799,965,0.296,0.2091,loopback
benign_0,0,1789223131.1480696,real,recon_benign_baseline,,generator_ground_truth,2,1,36,0.9799,965,0.296,0.2091,loopback
benign_0,0,1789223131.2980697,real,recon_benign_baseline,,generator_ground_truth,2,1,36,0.9799,965,0.296,0.2091,loopback
benign_0,0,1789223131.4480698,real,recon_benign_baseline,,generator_ground_truth,2,1,36,0.9799,965,0.296,0.2091,loopback
benign_0,0,1789223131.59807,real,recon_benign_baseline,,generator_ground_truth,2,1,37,0.9868,965,0.3058,0.2142,loopback
benign_0,0,1789223131.74807,real,recon_benign_baseline,,generator_ground_truth,2,1,37,0.9868,965,0.3058,0.2142,loopback
