session_id,label,ts,source,scenario_id,attack_subtype,label_method,packet_rate,unique_dst_ports,dst_port_entropy,mean_inter_arrival,std_inter_arrival,unique_src_ips,src_ip_entropy,environment
benign_0,0,1789233661.291777,real,ddos_benign_baseline,,generator_ground_truth,1,1,-0.0,0.0,0.0,1,-0.0,loopback
benign_0,0,1789233661.431777,real,ddos_benign_baseline,,generator_ground_truth,2,2,1.0,0.1869,0.0,1,-0.0,loopback
benign_0,0,1789233661.571777,real,ddos_benign_baseline,,generator_ground_truth,2,2,1.0,0.1869,0.0,1,-0.0,loopback
benign_0,0,1789233661.7117772,real,ddos_benign_baseline,,generator_ground_truth,2,2,1.0,0.1869,0.0,1,-0.0,loopback
benign_0,0,1789233661.8517773,real,ddos_benign_baseline,,generator_ground_truth,3,2,0.9183,0.3223,0.1353,1,-0.0,loopback
benign_0,0,1789233661.9917774,real,ddos_benign_baseline,,generator_ground_truth,4,2,1.0,0.2533,0.1474,1,-0.0,loopback
benign_0,0,1789233662.1317775,real,ddos_benign_baseline,,generator_ground_truth,4,2,1.0,0.2533,0.1474,1,-0.0,loopback
benign_0,0,1789233662.2717776,real,ddos_benign_baseline,,generator_ground_truth,4,2,1.0,0.2533,0.1474,1,-0.0,loopback
benign_0,0,1789233662.4117775,real,ddos_benign_baseline,,generator_ground_truth,5,2,0.971,0.2773,0.1343,1,-0.0,loopback
benign_0,0,1789233662.5517778,real,ddos_benign_baseline,,generator_ground_truth,5,2,0.971,0.2773,0.1343,1,-0.0,loopback
benign_0,0,1789233662.691778,real,ddos_benign_baseline,,generator_ground_truth,5,2,0.971,0.2773,0.1343,1,-0.0,loopback
benign_0,0,1789233662.831778,real,ddos_benign_baseline,,generator_ground_truth,5,2,0.971,0.2773,0.1343,1,-0.0,loopback
benign_0,0,1789233662.9717782,real,ddos_benign_baseline,,generator_ground_truth,6,2,0.9183,0.3402,0.1739,1,-0.0,loopback
benign_0,0,1789233663.1117785,real,ddos_benign_baseline,,generator_ground_truth,7,2,0.9852,0.2994,0.1831,1,-0.0,loopback
benign_0,0,1789233663.2517784,real,ddos_benign_baseline,,generator_ground_truth,7,2,0.9852,0.2994,0.1831,1,-0.0,loopback
benign_0,0,1789233663.3917785,real,ddos_benign_baseline,,generator_ground_truth,7,2,0.9852,0.2994,0.1831,1,-0.0,loopback
benign_0,0,1789233663.5317786,real,ddos_benign_baseline,,generator_ground_truth,8,2,0.9544,0.331,0.1864,1,-0.0,loopback
benign_0,0,1789233663.671779,real,ddos_benign_baseline,,generator_ground_truth,8,2,0.9544,0.331,0.1864,1,-0.0,loopback
benign_0,0,1789233663.8117788,real,ddos_benign_baseline,,generator_ground_truth,8,2,0.9544,0.331,0.1864,1,-0.0,loopback
benign_0,0,1789233663.951779,real,ddos_benign_baseline,,generator_ground_truth,10,2,0.971,0.2958,0.194,1,-0.0,loopback
benign_0,0,1789233664.091779,real,ddos_benign_baseline,,generator_ground_truth,10,2,0.971,0.2958,0.194,1,-0.0,loopback
benign_0,0,1789233664.231779,real,ddos_benign_baseline,,generator_ground_truth,10,2,0.971,0.2958,0.194,1,-0.0,loopback
benign_0,0,1789233664.3717792,real,ddos_benign_baseline,,generator_ground_truth,10,2,0.971,0.2958,0.194,1,-0.0,loopback
benign_0,0,1789233664.5117793,real,ddos_benign_baseline,,generator_ground_truth,11,2,0.994,0.3221,0.2002,1,-0.0,loopback
benign_0,0,1789233664.6517794,real,ddos_benign_baseline,,generator_ground_truth,12,2,0.9799,0.3115,0.1938,1,-0.0,loopback
benign_0,0,1789233664.7917795,real,ddos_benign_baseline,,generator_ground_truth,12,2,0.9799,0.3115,0.1938,1,-0.0,loopback
benign_0,0,1789233664.9317796,real,ddos_benign_baseline,,generator_ground_truth,13,2,0.9612,0.3012,0.1887,1,-0.0,loopback
benign_0,0,1789233665.0717795,real,ddos_benign_baseline,,generator_ground_truth,13,2,0.9612,0.3012,0.1887,1,-0.0,loopback
benign_0,0,1789233665.2117798,real,ddos_benign_baseline,,generator_ground_truth,13,2,0.9612,0.3012,0.1887,1,-0.0,loopback
benign_0,0,1789233665.35178,real,ddos_benign_baseline,,generator_ground_truth,13,2,0.9612,0.3012,0.1887,1,-0.0,loopback
benign_0,0,1789233665.49178,real,ddos_benign_baseline,,generator_ground_truth,14,2,0.9852,0.3253,0.1996,1,-0.0,loopback
benign_0,0,1789233665.63178,real,ddos_benign_baseline,,generator_ground_truth,14,2,0.9852,0.3253,0.1996,1,-0.0,loopback
benign_0,0,1789233665.7717805,real,ddos_benign_baseline,,generator_ground_truth,14,2,0.9852,0.3253,0.1996,1,-0.0,loopback
benign_0,0,1789233665.9117804,real,ddos_benign_baseline,,generator_ground_truth,15,2,0.971,0.3275,0.1925,1,-0.0,loopback
benign_0,0,1789233666.0517805,real,ddos_benign_baseline,,generator_ground_truth,16,2,0.9887,0.3178,0.1894,1,-0.0,loopback
benign_0,0,1789233666.1917806,real,ddos_benign_baseline,,generator_ground_truth,17,2,0.9774,0.3046,0.1904,1,-0.0,loopback
benign_0,0,1789233666.331781,real,ddos_benign_baseline,,generator_ground_truth,17,2,0.9774,0.3046,0.1904,1,-0.0,loopback
benign_0,0,1789233666.4717808,real,ddos_benign_baseline,,generator_ground_truth,17,2,0.9774,0.3046,0.1904,1,-0.0,loopback
benign_0,0,1789233666.611781,real,ddos_benign_baseline,,generator_ground_truth,17,2,0.9774,0.3046,0.1904,1,-0.0,loopback
benign_0,0,1789233666.751781,real,ddos_benign_baseline,,generator_ground_truth,17,2,0.9774,0.3046,0.1904,1,-0.0,loopback
benign_0,0,1789233666.891781,real,ddos_benign_baseline,,generator_ground_truth,17,2,0.9774,0.3046,0.1904,1,-0.0,loopback
benign_0,0,1789233667.0317812,real,ddos_benign_baseline,,generator_ground_truth,19,2,0.9819,0.3211,0.2236,1,-0.0,loopback
benign_0,0,1789233667.1717813,real,ddos_benign_baseline,,generator_ground_truth,20,2,0.971,0.3076,0.2251,1,-0.0,loopback
benign_0,0,1789233667.3117814,real,ddos_benign_baseline,,generator_ground_truth,20,2,0.971,0.3076,0.2251,1,-0.0,loopback
benign_0,0,1789233667.4517815,real,ddos_benign_baseline,,generator_ground_truth,20,2,0.971,0.3076,0.2251,1,-0.0,loopback
benign_0,0,1789233667.5917816,real,ddos_benign_baseline,,generator_ground_truth,21,2,0.9852,0.3136,0.2209,1,-0.0,loopback
benign_0,0,1789233667.7317815,real,ddos_benign_baseline,,generator_ground_truth,21,2,0.9852,0.3136,0.2209,1,-0.0,loopback
benign_0,0,1789233667.8717818,real,ddos_benign_baseline,,generator_ground_truth,21,2,0.9852,0.3136,0.2209,1,-0.0,loopback
benign_0,0,1789233668.011782,real,ddos_benign_baseline,,generator_ground_truth,21,2,0.9852,0.3136,0.2209,1,-0.0,loopback
benign_0,0,1789233668.151782,real,ddos_benign_baseline,,generator_ground_truth,23,2,0.9877,0.312,0.2259,1,-0.0,loopback
benign_0,0,1789233668.291782,real,ddos_benign_baseline,,generator_ground_truth,23,2,0.9877,0.312,0.2259,1,-0.0,loopback
benign_0,0,1789233668.4317822,real,ddos_benign_baseline,,generator_ground_truth,24,2,0.9799,0.3088,0.2214,1,-0.0,loopback
benign_0,0,1789233668.5717824,real,ddos_benign_baseline,,generator_ground_truth,24,2,0.9799,0.3088,0.2214,1,-0.0,loopback
benign_0,0,1789233668.7117825,real,ddos_benign_baseline,,generator_ground_truth,24,2,0.9799,0.3088,0.2214,1,-0.0,loopback
benign_0,0,1789233668.8517826,real,ddos_benign_baseline,,generator_ground_truth,24,2,0.9799,0.3088,0.2214,1,-0.0,loopback
benign_0,0,1789233668.991783,real,ddos_benign_baseline,,generator_ground_truth,25,2,0.9896,0.3245,0.2295,1,-0.0,loopback
