label,group,source,scenario_id,attack_subtype,label_method,orig_bytes,resp_bytes,byte_ratio,duration,orig_pkts,resp_pkts,bytes_per_sec,is_icmp,to_dns,to_common_port,environment
0,local_benign_0,real,exfil_local_benign,,generator_ground_truth,78.0,1770.0,0.0440677966101694,0.0025620460510253,7,5,30444.417643774428,0,0,0,loopback
0,local_benign_1,real,exfil_local_benign,,generator_ground_truth,78.0,617.0,0.126418152350081,0.0014030933380126,7,5,55591.45488530162,0,0,0,loopback
0,local_benign_2,real,exfil_local_benign,,generator_ground_truth,78.0,1545.0,0.0504854368932038,0.000605821609497,7,5,128750.77213695396,0,0,0,loopback
0,local_benign_3,real,exfil_local_benign,,generator_ground_truth,78.0,1318.0,0.0591805766312594,0.0024280548095703,6,6,32124.48075412412,0,0,0,loopback
0,local_benign_4,real,exfil_local_benign,,generator_ground_truth,78.0,641.0,0.1216848673946957,0.0020949840545654,7,5,37231.78695800615,0,0,0,loopback
0,local_benign_5,real,exfil_local_benign,,generator_ground_truth,78.0,858.0,0.0909090909090909,0.001579999923706,7,5,49367.09099139882,0,0,0,loopback
0,local_benign_6,real,exfil_local_benign,,generator_ground_truth,78.0,1268.0,0.0615141955835962,0.0019199848175048,6,6,40625.32124674034,0,0,0,loopback
0,local_benign_7,real,exfil_local_benign,,generator_ground_truth,78.0,1802.0,0.0432852386237513,0.0004451274871826,6,6,175230.69737546868,0,0,0,loopback
0,local_benign_8,real,exfil_local_benign,,generator_ground_truth,78.0,346.0,0.2254335260115607,0.0004191398620605,6,6,186095.39931740612,0,0,0,loopback
0,local_benign_9,real,exfil_local_benign,,generator_ground_truth,78.0,1962.0,0.0397553516819571,0.0020430088043212,7,5,38178.98377873731,0,0,0,loopback
0,local_benign_10,real,exfil_local_benign,,generator_ground_truth,78.0,1177.0,0.0662701784197111,0.0017781257629394,7,5,43866.413515687855,0,0,0,loopback
0,local_benign_11,real,exfil_local_benign,,generator_ground_truth,78.0,1904.0,0.0409663865546218,0.0008339881896972,6,6,93526.50428816468,0,0,0,loopback
0,local_benign_12,real,exfil_local_benign,,generator_ground_truth,78.0,314.0,0.2484076433121019,0.0020451545715332,7,5,38138.92655630683,0,0,0,loopback
0,local_benign_13,real,exfil_local_benign,,generator_ground_truth,78.0,1319.0,0.0591357088703563,0.00124192237854,7,5,62805.85755423306,0,0,0,loopback
0,local_benign_14,real,exfil_local_benign,,generator_ground_truth,78.0,1262.0,0.0618066561014263,0.001147985458374,7,5,67945.11152647976,0,0,0,loopback
0,local_benign_15,real,exfil_local_benign,,generator_ground_truth,78.0,1885.0,0.0413793103448275,0.000619888305664,7,5,125829.12,0,0,0,loopback
0,local_benign_16,real,exfil_local_benign,,generator_ground_truth,78.0,890.0,0.0876404494382022,0.0008339881896972,6,6,93526.50428816468,0,0,0,loopback
0,local_benign_17,real,exfil_local_benign,,generator_ground_truth,78.0,574.0,0.1358885017421602,0.0011329650878906,7,5,68845.898989899,0,0,0,loopback
0,local_benign_18,real,exfil_local_benign,,generator_ground_truth,78.0,1594.0,0.0489335006273525,0.0009410381317138,6,6,82887.18317709652,0,0,0,loopback
0,local_benign_19,real,exfil_local_benign,,generator_ground_truth,78.0,1125.0,0.0693333333333333,0.0010020732879638,7,5,77838.6181299072,0,0,0,loopback
0,local_benign_20,real,exfil_local_benign,,generator_ground_truth,78.0,1453.0,0.0536820371644872,0.0024828910827636,6,6,31414.990589590936,0,0,0,loopback
0,local_benign_21,real,exfil_local_benign,,generator_ground_truth,78.0,1352.0,0.0576923076923076,0.0015840530395507,7,5,49240.77543648405,0,0,0,loopback
0,local_benign_22,real,exfil_local_benign,,generator_ground_truth,78.0,1623.0,0.0480591497227356,0.0007100105285644,6,6,109857.52585627938,0,0,0,loopback
